10:39:07.267 [main] INFO  me.jdbener.Bennerbot - Begining plugin loading
10:39:07.369 [main] INFO  me.jdbener.Bennerbot - Finished looking for plugins in: plugins
10:39:07.400 [main] INFO  me.jdbener.Bennerbot - Finished looking for plugins in: plugins/BasicCommands
10:39:07.402 [main] INFO  me.jdbener.Bennerbot - Finished looking for plugins in: plugins/dissabled
10:39:07.404 [main] INFO  me.jdbener.Bennerbot - Beggining pluging loading sequence
10:39:07.404 [main] INFO  me.jdbener.Bennerbot - Beggining loading of: Basic Commands
10:39:07.405 [main] INFO  me.jdbener.Bennerbot - Added listener to twitch bot
10:39:07.405 [main] INFO  me.jdbener.Bennerbot - Added listener to hitbox bot
10:39:07.405 [main] INFO  me.jdbener.Bennerbot - Basic Commands has been sucessfully loaded!
10:39:07.405 [main] INFO  me.jdbener.Bennerbot - Finished pluging loading sequence
10:39:07.405 [main] INFO  me.jdbener.Bennerbot - Proceading with BennerBot initiation sequence
10:39:07.412 [main] INFO  me.jdbener.Bennerbot - Loading Emoticons
10:39:11.304 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: waffleH~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-7ba1fb012fce74a9-30x30.png
10:39:11.304 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: cmvChanManV~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-000c3b4a9a1df310-23x30.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: gassyGassymax~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-656bab55ca92fe78-28x28.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: rvgeLegs~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-28772-src-1b853b3b826e86c5-28x28.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: blackhooole~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-73237a06195e4642-30x30.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: oddoneSiSenor~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ff3c99af2ea1ba22-60x30.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Volcania~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-efbcc231b2d2d206-27x28.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: DatSheffy~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-bf13a0595ecf649c-24x30.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: hctVoid~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-b0939a8632fe26dd-56x28.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: DAESuppy~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ef2a16bdc037bc91-28x28.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: BootyBlasted~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-a3ae92c0e682b3f9-20x30.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: emdRussian~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-acf90423aab27676-28x28.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: ~'-'~~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-f8fe8c92a3dea0bb-23x30.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: JKanStyle~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-3a7ee1bc0e5c9af0-21x27.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: OptimizePrime~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-41f8a86c4b15b5d8-22x27.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: StoneLightning~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-8b5aaae6e2409deb-20x27.png
10:39:11.305 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: TheRinger~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-1903cc415afc404c-20x27.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: PazPazowitz~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-521420789e1e93ef-18x27.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: killarsRAGE~http://static-cdn.jtvnw.net/jtv_user_pictures/emoticon-3432-src-5596fcb4f4eae12c-28x28.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: B-?\)~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-2cde79cfe74c6169-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: TCBeast~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-e5f9f453207510dc-27x30.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \:-?[z|Z|\|]~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-b9cbb6884788aa62-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: Reynald~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-leveluplive-emoticon-dc8f1c3e1e1ae52d-28x30.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \:-?\)~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-ebf60cd72f7aa600-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \:-?\(~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-d570c4b3b8d8fc4d-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \:-?(p|P)~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-e838e5e34d9f240c-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \;-?(p|P)~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-3407bf911ad2fd4a-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \&lt\;3~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-577ade91d46d7edc-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \:-?(?:\/|\\)(?!\/)~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-374120835234cb29-24x18.png
10:39:11.306 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \;-?\)~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-cfaf6eac72fe4de6-24x18.png
10:39:11.307 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: R-?\)~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-0536d670860bf733-24x18.png
10:39:11.307 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: [o|O](_|\.)[o|O]~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-8e128fa8dc1de29c-24x18.png
10:39:11.307 [main] INFO  me.jdbener.Bennerbot - Adding Emoticon: \:-?D~http://static-cdn.jtvnw.net/jtv_user_pictures/chansub-global-emoticon-9f2ac5d4b53913d7-24x18.png
